,Channel,Surevy year,Degree,Degree year,Nationality,Career (Aspiration or current),Crypto type,Crypto usage purpose,Crypto knowledge,Crypto usage duration (years),Trade performance,Remittance amount (%),Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
59,online,2021,Humanities,MSc,Turkey,Finance,"BTC,NFT,ALT",trade,++,1-3,++,,family,N,Y
60,online,2022,Business,1st,Turkey,Medical,"BTC,ETH",trade,++,1,-,,family,Y,N
61,online,2023,STEM,PhD,Europe,Technology,BTC,"trade,remittance,trans",+++,,+++,,study/research,Y,Y
62,f2f,2023,Business,3rd,Europe,Technology,ALT,"remittance,trans",++,5+,,50,friends,Y,Y
63,f2f,2021,STEM,MSc,Europe,Engineering,,"trade,remittance",,4-5,--,75,study/research,Y,Y
64,online,2024,Humanities,1st,Europe,,"BTC,ETH,ALT",remittance,+++,5+,,50,marketing,Y,N
65,online,2024,Business,MSc,Turkey,Retail,ALT,"remittance,trans",+++,1,,25,study/research,Y,Y
66,online,2022,Business,MSc,South America,Technology,ETH,"trade,remittance,trans",+++,1-3,+,25,study/research,N,N
67,f2f,2024,Business,PhD,USA,Engineering,"NFT,ALT","remittance,trans",+++,11,,50,family,Y,Y
68,f2f,2020,Humanities,3rd,USA,Retail,BTC,remittance,+++,5+,,25,family,Y,Y
69,online,2023,Business,MSc,China,Medical,NFT,"trade,remittance",+++,1-3,++,100,family,Y,Y
70,online,2020,STEM,Phd,USA,Engineering,ETH,remittance,++,1,,50,marketing,N,N
71,online,2023,Business,Phd,South America,Retail,ALT,"remittance,trans",+++,,,75,study/research,Y,N
72,online,2023,Humanities,Phd,India,Finance,ALT,"remittance,trans",+++,5+,,50,friends,N,Y
73,online,2021,STEM,MSc,China,Technology,BTC,"trade,remittance",+++,1,,25,family,Y,Y
74,online,2021,STEM,3rd,Europe,Finance,DOGE,trade,+++,5+,-,,study/research,Y,Y
75,online,2020,Humanities,2nd,ME,Finance,"BTC,ETH",trade,++,1,,,family,Y,Y
76,online,2022,Business,2nd,South America,Medical,"BTC,ETH",remittance,+,11-3,,50,friends,Y,Y
77,online,2024,Business,1st,India,Finance,"BTC,ALT","remittance,trans",+++,5+,,100,study/research,N,Y
78,online,2022,Business,1st,Africa,,BTC,trade,+,1-3,--,,marketing,Y,Y
79,online,2020,STEM,MSc,Africa,Retail,"BTC,ETH","trade,remittance",++,1-3,+,25,marketing,Y,Y
80,online,2024,Humanities,1st,USA,Finance,"BTC,ALT",remittance,+++,1-3,,25,marketing,N,N
81,f2f,2020,Business,3rd,Europe,,"BTC,NFT","remittance,trans",+++,,,25,study/research,N,Y
82,online,2020,STEM,PhD,UK,Engineering,,trade,+++,1,,,study/research,Y,Y
83,f2f,2020,Business,MSc,Africa,Finance,"BTC,NFT,DOGE",trade,+,1,++,,family,Y,Y
84,online,2020,Business,2nd,India,Technology,"BTC,NFT","trade,remittance,trans",,1-3,--,25,study/research,Y,Y
85,online,2020,Business,Phd,Turkey,,"BTC,ETH,ALT","remittance,trans",++,1-3,,25,study/research,Y,Y
86,online,2024,Business,3rd,Turkey,Finance,,"remittance,trans",+++,1,,25,study/research,Y,Y
87,f2f,2022,STEM,2nd,Africa,Medical,BTC,remittance,++,11-3,,75,family,Y,Y
88,online,2022,STEM,MSc,Turkey,Technology,"BTC,ETH","trade,remittance",++,5+,++,,family,Y,Y
89,online,2020,STEM,2nd,Turkey,Engineering,BTC,"trade,remittance,trans",,,++,75,marketing,Y,Y
90,online,2022,STEM,MSc,Turkey,Technology,"BTC,ETH",remittance,++,1-3,,50,friends,Y,Y
91,online,2024,Humanities,MSc,Turkey,Finance,BTC,"remittance,trans",+++,5+,,75,marketing,Y,N
92,online,2024,Business,MSc,Europe,Finance,"BTC,NFT,DOGE",trade,++,1-3,-,,study/research,Y,Y
93,f2f,2022,Business,MSc,USA,Medical,"BTC,ALT","remittance,trans",++,4-5,,50,study/research,Y,Y
94,online,2022,Business,3rd,USA,Medical,"BTC,NFT,DOGE",trade,+,1,+,,friends,Y,Y
95,f2f,2020,STEM,PhD,China,Engineering,BTC,trade,+++,1-3,,,study/research,Y,Y
96,online,2021,STEM,MSc,Turkey,Technology,BTC,"trade,remittance",++,1,+++,100,marketing,N,N
97,online,2022,STEM,3rd,India,Engineering,BTC,"trade,remittance,trans",+++,1-3,-,25,friends,Y,Y
98,f2f,2023,STEM,1st,Turkey,,"BTC,ETH,ALT",remittance,+,1-3,,75,family,N,Y
99,online,2022,STEM,PhD,Africa,Engineering,"BTC,NFT","trade,remittance",++,1-3,+++,25,family,Y,Y
100,f2f,2023,Business,MSc,Africa,Retail,"BTC,NFT,DOGE",trade,+++,1,+,,marketing,Y,N
101,online,2020,Business,3rd,South America,Finance,"ETH,ALT","remittance,trans",+++,4-5,,75,friends,Y,Y
102,online,2021,Business,PhD,China,Finance,DOGE,"trade,remittance",+++,4-5,,75,family,Y,Y
103,online,2023,STEM,PhD,USA,Retail,"BTC,ETH","trade,remittance",,1-3,+++,50,family,Y,Y
104,f2f,2022,STEM,MSc,Turkey,Technology,"BTC,ALT","remittance,trans",+++,11,,50,study/research,Y,Y
105,online,2022,Business,MSc,ME,Finance,ETH,trade,++,1-3,--,,marketing,Y,N
106,f2f,2020,STEM,MSc,Africa,Finance,"ETH,NFT,ALT",trade,+++,1-3,+,,study/research,Y,Y
107,online,2023,STEM,MSc,ME,Technology,BTC,"trade,remittance",+++,5+,--,25,family,Y,Y
108,online,2021,STEM,PhD,China,Engineering,ETH,"trade,remittance",++,4-5,++,25,study/research,Y,Y
109,online,2023,STEM,MSc,Turkey,Engineering,"NFT,ALT",trade,++,4-5,,,study/research,N,Y
110,online,2022,Business,Phd,South America,Finance,"BTC,ETH","remittance,trans",++,1,,100,study/research,Y,Y
111,online,2021,Humanities,1st,USA,Technology,"BTC,NFT,DOGE",trade,+,1-3,--,,friends,Y,Y
112,online,2022,STEM,3rd,South America,Medical,"BTC,ETH",remittance,+,1-3,,25,marketing,Y,Y
113,online,2020,STEM,2nd,Africa,Finance,"BTC,ETH",trade,++,1,--,,family,N,N
114,online,2021,Humanities,3rd,Turkey,Public,ALT,"remittance,trans",++,4-5,,100,study/research,Y,Y
115,f2f,2020,Business,MSc,Turkey,Finance,ALT,"remittance,trans",++,11,,50,marketing,Y,Y
116,online,2020,Business,2nd,Africa,Finance,"ETH,DOGE",trade,++,1,--,,family,Y,N
117,online,2022,Business,MSc,ME,Technology,"BTC,ETH","trade,remittance,trans",,1-3,-,25,friends,N,Y
118,f2f,2021,Business,MSc,India,Retail,"BTC,ETH","remittance,trans",+++,1,,100,study/research,Y,Y
119,f2f,2022,STEM,3rd,South America,Engineering,ETH,remittance,++,1,,100,family,N,Y
120,online,2023,Business,MSc,USA,Public,"ETH,DOGE","remittance,trans",+++,1,,75,study/research,Y,Y
121,online,2022,STEM,PhD,Turkey,Finance,BTC,trade,++,1-3,--,,marketing,N,N
122,online,2022,Business,1st,China,Medical,"BTC,NFT",remittance,+,1-3,,75,marketing,Y,Y
123,online,2024,Business,3rd,Turkey,Legal,"BTC,ALT","remittance,trans",++,4-5,,50,family,Y,Y
124,f2f,2024,STEM,PhD,China,Technology,ALT,"remittance,trans",+++,5+,,100,study/research,Y,Y
125,online,2022,STEM,MSc,Africa,,BTC,trade,+,1-3,--,,marketing,Y,N
126,online,2022,STEM,1st,India,Finance,"ETH,NFT,ALT",remittance,++,1,,75,marketing,Y,Y
127,online,2023,STEM,MSc,Turkey,Engineering,ETH,remittance,+,11-3,,25,friends,Y,N
128,online,2022,STEM,1st,Turkey,Technology,"BTC,ETH",remittance,+,,,75,study/research,Y,Y
129,online,2021,STEM,MSc,Africa,Engineering,NFT,"trade,remittance",,4-5,,25,family,Y,Y
130,online,2024,STEM,2nd,ME,Retail,NFT,trade,+++,1-3,,,family,N,Y
131,online,2022,STEM,3rd,ME,Engineering,"ETH,DOGE",remittance,++,1,,75,family,Y,N
132,online,2020,Humanities,2nd,Africa,Public,"BTC,ETH",trade,+,1,-,,friends,Y,Y
133,online,2023,STEM,PhD,Europe,Retail,BTC,"trade,remittance,trans",,1-3,++,75,family,N,Y
134,online,2024,Business,3rd,South America,Medical,"BTC,ALT","remittance,trans",++,4-5,,25,family,Y,Y
135,online,2023,STEM,3rd,Turkey,Finance,,trade,+,1-3,+,,marketing,N,Y
136,online,2022,STEM,1st,Turkey,Medical,"BTC,ALT",remittance,++,1,,75,marketing,N,Y
137,online,2022,STEM,1st,South America,Medical,"BTC,DOGE","remittance,trans",++,1,,25,marketing,Y,Y
138,f2f,2022,STEM,Phd,Turkey,Technology,"BTC,DOGE","remittance,trans",++,4-5,,50,study/research,Y,Y
139,online,2020,Business,MSc,South America,Finance,"BTC,ALT","remittance,trans",+++,4-5,,75,study/research,Y,Y
140,f2f,2021,Humanities,3rd,China,Engineering,ETH,"remittance,trans",+++,4-5,,25,study/research,Y,Y
141,online,2021,Business,MSc,India,Medical,"BTC,ETH","trade,remittance",++,1,,25,marketing,N,Y
142,f2f,2024,Business,3rd,Turkey,Technology,"BTC,NFT","remittance,trans",+++,1,,25,study/research,Y,Y
143,online,2022,Business,3rd,Europe,Finance,"NFT,ALT",remittance,++,5+,,50,marketing,Y,N
144,f2f,2024,Business,MSc,South America,Engineering,ALT,"remittance,trans",+++,5+,,100,marketing,Y,N
145,online,2020,Humanities,1st,Europe,Medical,"BTC,ALT",remittance,++,1-31-3,,50,marketing,Y,Y
146,online,2024,Business,2nd,Africa,,"BTC,NFT,ALT",trade,++,1,--,,study/research,N,N
147,online,2023,Business,3rd,Turkey,Technology,BTC,"remittance,trans",+++,1,,25,family,Y,Y
148,online,2022,Humanities,1st,Turkey,Legal,ALT,"remittance,trans",++,4-5,,100,study/research,Y,Y
149,online,2021,Business,3rd,USA,Technology,BTC,"remittance,trans",+++,5+,,25,study/research,Y,Y
150,f2f,2022,STEM,2nd,China,Finance,"BTC,NFT",remittance,++,4-5,,50,friends,Y,Y
151,f2f,2024,STEM,PhD,USA,Retail,DOGE,"trade,remittance",+++,4-5,+,100,family,N,N
152,online,2021,STEM,MSc,Africa,Medical,NFT,"trade,remittance",++,,,25,family,Y,Y
153,online,2021,Humanities,PhD,UK,Legal,"BTC,ETH",trade,++,1-3,-,,study/research,Y,N
154,online,2021,STEM,3rd,India,Engineering,BTC,"trade,remittance,trans",+++,1-3,+++,25,family,N,N
155,online,2024,STEM,PhD,UK,Engineering,"ETH,DOGE",trade,+++,5+,,,study/research,Y,Y
156,online,2021,STEM,PhD,USA,Medical,"BTC,NFT","trade,remittance",++,1,+++,,family,N,Y
157,online,2024,Business,3rd,China,Technology,"BTC,ALT","remittance,trans",+++,4-5,,75,study/research,Y,N
158,online,2022,Business,MSc,India,Technology,NFT,"trade,remittance,trans",+++,4-5,,,friends,Y,Y
159,f2f,2021,STEM,Phd,Europe,Retail,"ETH,NFT,ALT","remittance,trans",+++,4-5,,25,study/research,Y,Y
160,f2f,2023,STEM,1st,Africa,Engineering,BTC,remittance,+++,4-5,,50,marketing,Y,Y
161,online,2021,STEM,MSc,Europe,Engineering,"BTC,ETH",trade,+++,5+,++,,study/research,Y,Y
162,online,2023,STEM,MSc,USA,Technology,NFT,"trade,remittance",+++,1-3,+,25,family,Y,N
163,f2f,2020,Business,2nd,Turkey,Finance,ETH,"trade,remittance,trans",+++,1-3,++,25,marketing,Y,Y
164,online,2022,STEM,PhD,Africa,,BTC,remittance,++,1-3,,50,family,N,Y
165,online,2023,Business,MSc,USA,Engineering,"BTC,NFT","trade,remittance,trans",+++,1-3,++,25,marketing,Y,Y
166,online,2020,Business,3rd,USA,Finance,"BTC,ALT",remittance,+++,1,,100,study/research,Y,Y
167,f2f,2022,STEM,PhD,China,Engineering,"BTC,ETH",remittance,+,1,,100,friends,Y,Y
168,f2f,2021,Humanities,1st,South America,Medical,BTC,remittance,++,1-3,,75,marketing,Y,Y
169,online,2023,Business,3rd,Turkey,Technology,BTC,remittance,+++,1-3,,50,friends,Y,N
170,online,2022,Humanities,1st,USA,Technology,"BTC,NFT",trade,+,1,--,,friends,Y,Y
171,online,2022,Humanities,3rd,ME,Engineering,"ETH,NFT,ALT",remittance,+++,,,100,family,N,Y
172,online,2022,Business,2nd,ME,Finance,"BTC,ETH",remittance,+,4-5,,75,study/research,Y,Y
173,online,2020,STEM,3rd,South America,Public,"BTC,NFT","remittance,trans",++,1,,100,marketing,Y,N
174,online,2024,Business,3rd,USA,,"BTC,ETH","remittance,trans",+++,1-3,,100,family,Y,Y
175,f2f,2021,STEM,MSc,Europe,Engineering,ETH,trade,+++,4-5,+++,,study/research,Y,Y
176,online,2022,STEM,2nd,Turkey,Finance,"ETH,ALT",remittance,++,,,75,study/research,Y,Y
177,online,2020,Humanities,1st,South America,Finance,BTC,"remittance,trans",+++,1-3,,75,study/research,Y,N
178,online,2020,Business,2nd,USA,Technology,BTC,remittance,+++,1-31-3,,50,marketing,N,Y
179,online,2024,STEM,MSc,USA,Legal,"ETH,NFT,ALT",trade,++,1,-,,marketing,Y,N
180,online,2022,STEM,1st,USA,Medical,"ETH,DOGE",trade,+,1,-,,marketing,N,N
181,online,2020,Humanities,MSc,Africa,Legal,"BTC,ETH,NFT",trade,++,1,,,marketing,N,Y
182,f2f,2021,Humanities,3rd,USA,Engineering,"ETH,ALT",remittance,++,5+,,50,marketing,Y,Y
183,f2f,2020,STEM,PhD,India,Medical,BTC,remittance,++,,,100,marketing,N,Y
184,f2f,2020,STEM,PhD,Europe,Engineering,"BTC,ETH",trade,+++,5+,+++,,study/research,N,Y
185,f2f,2021,STEM,1st,Africa,Finance,NFT,trade,++,1,+,,family,N,N
186,f2f,2022,Humanities,MSc,South America,Retail,ETH,"remittance,trans",+++,11,,50,study/research,Y,N
187,f2f,2020,Humanities,3rd,Europe,Finance,"NFT,ALT",remittance,+++,1-3,,25,marketing,N,Y
188,online,2020,STEM,MSc,ME,Engineering,"BTC,ETH","trade,remittance",,1,+,,family,Y,Y
189,online,2021,Business,1st,South America,Engineering,ALT,"remittance,trans",+++,,,100,study/research,Y,Y
190,online,2020,STEM,PhD,Turkey,Engineering,ETH,remittance,++,1-3,,25,family,Y,N
191,online,2024,Business,Phd,Turkey,Technology,"BTC,ETH","remittance,trans",++,4-5,,100,study/research,Y,N
192,online,2024,Business,3rd,USA,Public,,"remittance,trans",++,11,,25,study/research,Y,Y
193,f2f,2024,Business,MSc,UK,Technology,ETH,trade,+++,4-5,++,,friends,N,N
194,online,2020,Humanities,PhD,Europe,Medical,"BTC,ALT",remittance,+++,1-31-3,,25,marketing,N,Y
195,f2f,2020,STEM,MSc,Europe,Legal,"NFT,ALT",remittance,+++,1-31-3,,25,study/research,N,N
196,online,2024,STEM,3rd,USA,Finance,"BTC,NFT","remittance,trans",+++,4-5,,25,study/research,Y,Y
197,online,2022,STEM,MSc,South America,Technology,ETH,"trade,remittance",+++,1,+++,100,friends,Y,Y
198,online,2022,Business,3rd,China,Technology,DOGE,"trade,remittance,trans",,4-5,--,25,friends,Y,Y
199,online,2020,Business,1st,USA,Medical,"BTC,NFT,DOGE",trade,+,1,-,,marketing,Y,N
200,online,2024,STEM,PhD,Turkey,Engineering,"BTC,ETH","trade,remittance",+,1,,25,family,Y,Y
201,online,2024,Business,3rd,USA,Legal,"BTC,ALT","remittance,trans",++,1,,100,study/research,Y,Y
202,f2f,2021,Humanities,3rd,USA,Technology,"BTC,ALT",remittance,+++,1,,50,marketing,Y,Y
203,online,2024,Business,3rd,Turkey,Technology,"BTC,ETH,ALT","remittance,trans",+++,11,,25,study/research,Y,Y
204,online,2024,STEM,MSc,Africa,Retail,BTC,trade,+,4-5,,,study/research,Y,N
205,online,2023,Humanities,MSc,USA,Retail,ALT,"remittance,trans",+++,1-3,,50,study/research,Y,Y
206,online,2024,STEM,MSc,China,Engineering,"BTC,ETH","trade,remittance,trans",+++,1-3,++,100,family,Y,N
207,online,2020,Business,2nd,USA,Medical,"NFT,ALT",trade,+,1,+,,study/research,Y,Y
208,online,2024,Business,1st,South America,Technology,ALT,"remittance,trans",+++,,,50,study/research,Y,N
209,f2f,2023,Business,PhD,Europe,Technology,"ETH,ALT","remittance,trans",++,4-5,,50,study/research,Y,Y
210,online,2020,STEM,3rd,Turkey,Finance,"BTC,ALT",remittance,+++,1-3,,25,family,Y,N
211,online,2023,Business,1st,China,Technology,NFT,trade,+++,1,--,,friends,Y,N
212,online,2024,Business,PhD,China,Finance,,"trade,remittance,trans",+++,1-3,+++,25,family,N,Y
213,online,2021,STEM,MSc,Turkey,Technology,ETH,"trade,remittance",++,4-5,,25,family,Y,Y
214,online,2023,Humanities,3rd,India,Finance,ETH,"remittance,trans",+++,1,,75,marketing,Y,Y
215,online,2021,STEM,PhD,UK,Engineering,"ETH,ALT",trade,+++,1-3,,,study/research,Y,Y
216,online,2020,Business,1st,USA,Finance,BTC,remittance,+++,1,,100,marketing,Y,Y
217,online,2021,Business,PhD,China,Finance,BTC,"trade,remittance",,4-5,,25,family,Y,Y
218,online,2023,STEM,2nd,Africa,Medical,"BTC,ETH",trade,++,5+,--,,friends,Y,N
219,online,2022,Humanities,PhD,Turkey,Medical,,remittance,+,11-3,,75,friends,Y,Y
220,online,2022,Humanities,MSc,UK,Medical,BTC,trade,+++,1,--,,marketing,Y,Y
221,online,2024,Humanities,1st,China,Finance,"BTC,ETH",remittance,++,11-3,,75,friends,Y,Y
222,online,2024,STEM,MSc,Turkey,Legal,ALT,"remittance,trans",++,1,,50,study/research,Y,Y
223,online,2020,Humanities,1st,USA,,"BTC,ETH,NFT",trade,+,1-3,--,,friends,N,Y
224,online,2021,Business,2nd,Europe,,"BTC,ETH,NFT",trade,+++,1,+,,marketing,Y,N
225,online,2021,Business,MSc,South America,Finance,"BTC,ETH",remittance,++,,,50,friends,Y,Y
226,f2f,2020,Humanities,MSc,Turkey,Finance,"BTC,ETH",remittance,++,1-3,,25,family,N,Y
227,online,2023,Business,MSc,China,Legal,,"remittance,trans",++,1-3,,75,study/research,N,Y
228,f2f,2021,STEM,2nd,Europe,Finance,"BTC,DOGE",trade,++,1-3,+,,marketing,Y,Y
229,online,2022,STEM,2nd,China,Finance,"BTC,ETH",remittance,+++,1-3,,100,marketing,N,Y
230,online,2020,STEM,Phd,USA,Finance,"BTC,ALT",remittance,+,5+,,75,marketing,N,Y
231,f2f,2020,Humanities,2nd,USA,,"BTC,ALT",remittance,++,,,25,marketing,Y,Y
232,online,2021,STEM,PhD,Africa,Finance,BTC,"trade,remittance",+++,5+,,75,marketing,N,Y
233,online,2020,STEM,MSc,UK,Finance,"BTC,ETH",trade,+++,4-5,,,friends,Y,Y
234,f2f,2024,Humanities,1st,Europe,Public,"BTC,NFT",trade,++,1,+,,friends,Y,N
235,online,2022,Business,3rd,USA,Finance,"BTC,ETH,ALT",remittance,++,1-3,,25,marketing,N,Y
236,f2f,2022,STEM,PhD,USA,Public,"BTC,DOGE",trade,+,1,--,,friends,N,N
237,f2f,2020,Business,3rd,ME,Retail,"ETH,DOGE",trade,+,5+,--,,friends,Y,Y
238,f2f,2021,Humanities,MSc,South America,Technology,ALT,"remittance,trans",+++,11,,50,study/research,Y,Y
239,f2f,2021,STEM,PhD,Europe,Engineering,,trade,+++,1-3,--,,study/research,Y,N
240,online,2022,Business,MSc,Turkey,Medical,"BTC,ETH",remittance,++,11-3,,50,marketing,N,Y
241,online,2023,STEM,Phd,Turkey,Engineering,ALT,"remittance,trans",++,5+,,100,friends,Y,N
242,online,2024,Business,3rd,USA,Finance,"BTC,ALT","remittance,trans",++,5+,,100,study/research,Y,N
243,online,2020,STEM,2nd,Turkey,Retail,"BTC,ETH",trade,+,1-3,-,,study/research,N,Y
244,online,2024,STEM,1st,ME,Retail,"BTC,NFT,DOGE",trade,+++,5+,--,,marketing,Y,Y
245,online,2021,STEM,MSc,China,Technology,"BTC,ETH","trade,remittance",+++,1,-,75,friends,Y,Y
246,online,2024,Business,3rd,India,,ALT,"remittance,trans",+++,4-5,,25,study/research,N,N
247,f2f,2020,Humanities,1st,USA,Engineering,"BTC,ETH",remittance,++,1,,25,marketing,Y,N
248,online,2024,STEM,2nd,Africa,,ETH,remittance,+,4-5,,25,friends,Y,N
249,f2f,2024,Humanities,MSc,Europe,Finance,ALT,"remittance,trans",+++,1,,50,friends,Y,Y
250,online,2024,Business,PhD,UK,Technology,"BTC,ETH",trade,+++,1,++,,study/research,Y,Y
251,online,2020,STEM,MSc,Europe,Medical,ETH,remittance,+++,1-31-3,,75,friends,N,Y
252,online,2020,Business,PhD,Turkey,Public,"ETH,NFT,ALT","remittance,trans",++,1,,100,family,Y,Y
253,online,2022,Humanities,2nd,China,Technology,"BTC,ETH",remittance,++,1-3,,50,study/research,N,N
254,online,2020,Humanities,PhD,India,Engineering,BTC,remittance,+++,1-3,,75,marketing,Y,Y
255,online,2020,Humanities,2nd,Turkey,Retail,"BTC,NFT,DOGE",trade,++,5+,--,,marketing,N,N
256,f2f,2023,Humanities,Phd,Europe,Medical,"NFT,ALT",remittance,+++,1-3,,75,study/research,Y,Y
257,f2f,2024,STEM,2nd,India,Technology,NFT,"trade,remittance,trans",+++,1-3,--,25,study/research,Y,Y
258,online,2023,Business,MSc,USA,Engineering,"BTC,ALT","remittance,trans",+++,1,,25,study/research,Y,Y
259,f2f,2024,Business,MSc,USA,Engineering,"BTC,DOGE","remittance,trans",+++,,,100,study/research,Y,Y
